Year,Population in Millions,Social Cost of Carbon Base,Social_Cost_of_Carbon_Optimal_Tax ,Temperature Base,Temperature Optimal Tax,Net Output Damage and Abatement Base,Net Output Damage and Abatement Optimal Tax,Total carbon emissions GTCO2 per year Base,Total carbon emissions GTCO2 per year Optimal Tax,Temperature Base Change,Temperature Change Optimal Tax,Year_Alt
2015,7403,2,30.69665888,0.85,0.85,104.997237,104.9972283,38.34471365,38.34038463,0.166345184,0.166341648,2017.5
2020,7853.090848,2.20816,36.71754749,1.016345184,1.016341648,125.0404532,125.0100801,41.68456371,35.40247911,0.17289,0.16797,"2,022.50"
2025,8264.92066,2.43799,43.52635385,1.189236634,1.184309461,147.2765387,147.2439351,44.96787032,37.14228097,0.178693215,0.169288352,2027.5
2030,8638.97496,2.69174,51.17015695,1.367929849,1.353597814,171.7445325,171.708871,48.15190007,38.55675156,0.183816681,0.170155141,2032.5
2035,8976.556918,2.97189,59.69617473,1.551746531,1.523752954,198.4766464,198.4416249,51.20091976,39.60393242,0.188274333,0.170443211,2037.5
2040,9279.542985,3.28121,69.15161977,1.740020864,1.694196165,227.4989027,227.4744411,54.08559857,40.25035333,0.192056568,0.170054963,2042.5
2045,9550.179528,3.62272,79.58351207,1.932077432,1.864251128,258.8316233,258.8360558,56.78234041,40.47031991,0.195149903,0.16892019,2047.5
2050,9790.919966,3.99978,91.03845348,2.127227335,2.033171318,292.4898105,292.5525886,59.27260084,40.24516437,0.197546566,0.166993617,2052.5
2055,10004.29898,4.41608,103.5623711,2.3247739,2.200164936,328.4834514,328.6483622,61.5422247,39.56250376,0.199248718,0.164251134,2057.5
2060,10192.8389,4.87571,117.200239,2.524022618,2.364416069,366.8177731,367.1466612,63.58082668,38.41553347,0.200269454,0.160685518,2062.5
2065,10358.98297,5.38318,131.9957898,2.724292072,2.525101587,407.4934673,408.0704362,65.38122705,36.8023703,0.200632004,0.156302143,2067.5
2070,10505.05029,5.94346,147.9912353,2.924924076,2.68140373,450.5068947,451.4429364,66.93894694,34.72545019,0.200368049,0.151114949,2072.5
2075,10633.20768,6.56206,165.2270332,3.125292125,2.832518679,495.8502742,497.2882269,68.25176291,32.1909764,0.199515709,0.145142805,2077.5
2080,10745.45454,7.24505,183.7417607,3.324807834,2.977661483,543.511848,545.6314902,69.31931685,29.20840781,0.198117529,0.138406306,2082.5
2085,10843.61725,7.99912,203.5722285,3.522925364,3.116067789,593.4760045,596.498904,70.14277496,25.78996565,0.19621865,0.13092495,2087.5
2090,10929.35041,8.83167,224.7540821,3.719144014,3.246992739,645.7233116,649.9166733,70.72452767,21.9501239,0.193865234,0.122714603,2092.5
2095,11004.14281,9.75088,247.3233782,3.913009248,3.369707342,700.2303721,705.9083834,71.06791982,17.70502446,0.191103178,0.11378512,2097.5
2100,11069.32644,10.76576,271.3200736,4.104112426,3.483492461,756.9693297,764.48902,71.17699732,13.07171903,0.185021206,0.101182022,2102.5
2105,11126.08736,11.88627,296.8030747,4.289133632,3.584674483,815.9577559,825.6950699,71.05624984,8.065859338,0.178996635,0.088229609,2107.5
2110,11175.47743,13.1234,323.8402119,4.468130266,3.672904092,877.1887069,889.5005216,70.71215889,2.70383157,0.173020765,0.07485424,2112.5
2115,11218.42635,14.48929,352.5166557,4.641151031,3.747758332,940.6513702,956.8911641,70.15110021,0.225859708,0.167088599,0.06274553,2117.5
2120,11255.75345,15.99735,382.8446102,4.80823963,3.810503862,1006.332043,1028.147381,69.37939313,0.199885841,0.161197633,0.052951786,2122.5
2125,11288.17905,17.66237,414.7992107,4.969437264,3.863455647,1074.214837,1102.758081,68.40330407,0.17689897,0.15534697,0.044932983,2127.5
2130,11316.33509,19.50068,448.370067,5.124784234,3.90838863,1144.28221,1180.652787,67.22902616,0.156555588,0.149536661,0.03829413,2132.5
2135,11340.77496,21.53033,483.5551473,5.274320894,3.94668276,1216.515384,1261.788643,65.86264728,0.138551695,0.143767215,0.032743437,2137.5
2140,11361.98252,23.77122,520.3565957,5.41808811,3.979426196,1290.894704,1346.148081,64.31011397,0.122618251,0.138039239,0.02806276,2142.5
2145,11380.38032,26.24535,558.7769361,5.556127349,4.007488957,1367.399955,1433.745734,62.57719473,0.108517152,0.132353168,0.024086817,2147.5
2150,11396.33688,28.97698,598.8136155,5.688480517,4.031575774,1446.010652,1524.649076,60.669445,0.096037679,0.126709069,0.020688569,2152.5
2155,11410.17333,31.99293,640.4485118,5.815189586,4.052264343,1526.70633,1619.022373,58.59217447,0.084993346,0.121106497,0.017768934,2157.5
2160,11422.16927,35.32278,684.8195916,5.936296083,4.070033277,1609.466826,1712.260249,56.35041728,-16.01174282,0.115544398,0.006144884,2162.5
2165,11432.56795,38.99921,730.6157733,6.051840481,4.076178161,1694.272565,1811.730278,53.94890497,-15.86332663,0.110021029,-0.002946975,2167.5
2170,11441.58085,43.05827,777.8198375,6.161861511,4.073231185,1781.10485,1914.704984,51.39204219,-15.69997291,0.104533913,-0.01014772,2172.5
2175,11449.39177,47.53981,826.4013619,6.266395424,4.063083466,1869.946171,2021.059761,48.6838848,-15.52220864,0.099079794,-0.015919007,2177.5
2180,11456.16033,52.4878,876.317941,6.365475218,4.047164459,1960.780526,2130.680878,45.82812032,-15.33076348,0.093654609,-0.020594726,2182.5
2185,11462.02513,57.95077,927.5164531,6.459129828,4.026569733,2053.593771,2243.461798,42.82805039,-15.12650064,0.088253461,-0.024418,2187.5
2190,11467.10648,63.98233,979.9341697,6.547383289,4.002151733,2148.374027,2359.300343,39.68657516,-14.91036681,0.082870589,-0.027567442,2192.5
2195,11471.50875,70.64166,1033.499653,6.630253878,3.974584291,2245.112171,2478.096569,36.40617934,-14.68335568,0.077499335,-0.030175708,2197.5
2200,11475.32247,77.9941,1088.13345,6.707753212,3.944408583,2343.802481,2599.75117,32.98891972,-14.44648137,,,
