Year,mm,1s,
-1000,-145.79,54.44,-0.14579
-980,-147.61,55.07,-0.14761
-960,-146.35,55.71,-0.14635
-940,-143.96,55.74,-0.14396
-920,-141.41,54.89,-0.14141
-900,-138.79,53.34,-0.13879
-880,-135.76,51.87,-0.13576
-860,-134.66,51.24,-0.13466
-840,-136.75,51.16,-0.13675
-820,-135.5,51.08,-0.1355
-800,-128.26,51.38,-0.12826
-780,-119.93,52.52,-0.11993
-760,-112.5,53.73,-0.1125
-740,-105.48,54.14,-0.10548
-720,-98.19,53.49,-0.09819
-700,-89.62,52.04,-0.08962
-680,-78.83,50.52,-0.07883
-660,-68.95,49.11,-0.06895
-640,-65.57,48.32,-0.06557
-620,-70.42,48.3,-0.07042
-600,-77.49,47.87,-0.07749
-580,-80.68,47,-0.08068
-560,-78.78,46.33,-0.07878
-540,-75.58,46.67,-0.07558
-520,-73.25,47.55,-0.07325
-500,-72.51,47.95,-0.07251
-480,-73.65,47.78,-0.07365
-460,-77.44,47.38,-0.07744
-440,-84.87,47.2,-0.08487
-420,-93.34,46.85,-0.09334
-400,-98.46,46.41,-0.09846
-380,-98.07,46.16,-0.09807
-360,-94.11,45.69,-0.09411
-340,-87.69,44.99,-0.08769
-320,-79.18,44.64,-0.07918
-300,-72.28,44.4,-0.07228
-280,-72.1,43.95,-0.0721
-260,-77.94,43.1,-0.07794
-240,-89.81,42.42,-0.08981
-220,-105.93,42.15,-0.10593
-200,-120.53,41.98,-0.12053
-180,-127.63,41.53,-0.12763
-160,-127.15,40.23,-0.12715
-140,-122.24,38.28,-0.12224
-120,-116.98,35.57,-0.11698
-100,-113.91,32.74,-0.11391
-80,-112.6,30.52,-0.1126
-60,-113.42,28.77,-0.11342
-40,-113.78,27.54,-0.11378
-20,-110.91,26.55,-0.11091
0,-104.54,26.38,-0.10454
20,-98.51,26.87,-0.09851
40,-95.51,27.04,-0.09551
60,-93.91,27.57,-0.09391
80,-92.04,28.7,-0.09204
100,-88.99,29.69,-0.08899
120,-80.91,31.07,-0.08091
140,-73.65,32.88,-0.07365
160,-72.04,34.66,-0.07204
180,-69.41,36.13,-0.06941
200,-62.22,36.93,-0.06222
220,-54.67,36.7,-0.05467
240,-52.19,36.6,-0.05219
260,-56.61,36.74,-0.05661
280,-63.06,36.33,-0.06306
300,-64.61,35.67,-0.06461
320,-54.88,35.68,-0.05488
340,-38.38,35.56,-0.03838
360,-28.07,35.22,-0.02807
380,-29.7,34.97,-0.0297
400,-37.79,34.62,-0.03779
420,-46.31,34.41,-0.04631
440,-53.95,33.85,-0.05395
460,-63.29,33.39,-0.06329
480,-71.43,33.68,-0.07143
500,-73.56,33.66,-0.07356
520,-65.98,33.38,-0.06598
540,-53.48,33.09,-0.05348
560,-47.32,33.42,-0.04732
580,-51.49,34.14,-0.05149
600,-61.57,34.54,-0.06157
620,-69.25,34.99,-0.06925
640,-68.03,35.56,-0.06803
660,-58.06,35.43,-0.05806
680,-43.1,34.68,-0.0431
700,-33.42,33.94,-0.03342
720,-36.64,34.36,-0.03664
740,-46.42,35.34,-0.04642
760,-56.26,35.74,-0.05626
780,-65.1,35.24,-0.0651
800,-72.19,34.01,-0.07219
820,-78.87,32.54,-0.07887
840,-85.68,31.13,-0.08568
860,-87.48,30.3,-0.08748
880,-80.69,30.94,-0.08069
900,-71.83,31.5,-0.07183
920,-64,31.55,-0.064
940,-55.24,31.45,-0.05524
960,-46.69,31.28,-0.04669
980,-40.51,31.16,-0.04051
1000,-43.91,31.66,-0.04391
1020,-52.83,32.34,-0.05283
1040,-61.88,32.59,-0.06188
1060,-71.86,32.24,-0.07186
1080,-85.26,31.58,-0.08526
1100,-103.84,30.86,-0.10384
1120,-121.49,30.28,-0.12149
1140,-127.36,29.83,-0.12736
1160,-126.47,29.73,-0.12647
1180,-126.5,29.67,-0.1265
1200,-120.46,29.98,-0.12046
1220,-110.04,30.11,-0.11004
1240,-105.43,30.07,-0.10543
1260,-109.86,30.15,-0.10986
1280,-118.43,30.52,-0.11843
1300,-124.2,30.76,-0.1242
1320,-127.46,30.43,-0.12746
1340,-129.72,29.73,-0.12972
1360,-129.88,29.82,-0.12988
1380,-131.08,30.02,-0.13108
1400,-134.66,29.84,-0.13466
1420,-137.93,29.92,-0.13793
1440,-136.1,30.03,-0.1361
1460,-128.07,29.36,-0.12807
1480,-113.61,28.17,-0.11361
1500,-99.28,27.11,-0.09928
1520,-90.11,26.62,-0.09011
1540,-82.53,27.09,-0.08253
1560,-75.28,27.76,-0.07528
1580,-72.97,28.19,-0.07297
1600,-76.49,28.74,-0.07649
1620,-84.3,29.4,-0.0843
1640,-89.96,29.02,-0.08996
1660,-93.74,27.86,-0.09374
1680,-100.31,26.52,-0.10031
1700,-109.92,25.17,-0.10992
1720,-114.99,23.91,-0.11499
1740,-111.62,22.93,-0.11162
1760,-110.67,21.95,-0.11067
1780,-119.61,20.91,-0.11961
1800,-131.55,19.36,-0.13155
1810,-136.41,18.42,-0.13641
1820,-139.57,17.43,-0.13957
1830,-141.98,16.35,-0.14198
1840,-144.58,15.19,-0.14458
1850,-148.49,13.89,-0.14849
1860,-150.71,12.49,-0.15071
1870,-146.99,10.94,-0.14699
1880,-144.16,9.25,-0.14416
1890,-143.25,7.79,-0.14325
1900,-134.33,6.82,-0.13433
1910,-123.06,6.2,-0.12306
1920,-114.34,5.73,-0.11434
1930,-102.8,5.35,-0.1028
1940,-84.86,5,-0.08486
1950,-65.9,4.67,-0.0659
1960,-55.58,4.33,-0.05558
1970,-41.27,4,-0.04127
1980,-28.52,3.64,-0.02852
1990,-14.72,3.26,-0.01472
2000,3.21,2.86,0.00321
2010,21.87,3.85,0.02187
