Year,MN,DY,ice_extent,Year_2,MN_2,DY_2,ice_area
1979,9,21,6998892.433,1979,9,21,6455322.563
1980,8,26,7862302.527,1980,8,26,7010784.424
1981,9,10,7203627.698,1981,9,6,6438129.712
1982,9,17,7342438.729,1982,9,9,6662314.987
1983,9,14,7537161.907,1983,9,6,6785270.823
1984,9,16,6839268.654,1984,9,10,6206512.681
1985,9,7,6790226.564,1985,9,7,6140910.783
1986,9,6,7387939.512,1986,9,8,6663552.81
1987,8,27,7298438.906,1987,8,23,6248912.671
1988,9,6,7468998.976,1988,8,30,6492643.306
1989,9,9,7183830.265,1989,9,9,6265363.269
1990,9,19,6324112.083,1990,9,3,5635686.526
1991,9,16,6455794.659,1991,9,16,5733746.696
1992,9,4,7294791.561,1992,8,31,6499373.877
1993,9,11,6220624.815,1993,9,4,5469105.129
1994,9,3,7150740.914,1994,9,5,6273856.492
1995,9,30,6084582.268,1995,9,8,5544039.889
1996,9,7,7593789.238,1996,9,8,6752524.653
1997,9,3,6845361.727,1997,9,2,6133342.827
1998,9,12,6425787.919,1998,9,11,5607585.565
1999,9,11,6178309.18,1999,9,11,5200637.558
2000,9,12,6373632.164,2000,9,10,5512233.862
2001,9,13,6798659.948,2001,9,16,5879375.563
2002,9,9,5814063.217,2002,9,8,5126711.231
2003,9,11,6211162.855,2003,9,5,5393702.839
2004,9,19,6064216.95,2004,9,8,5399485.758
2005,9,22,5496227.521,2005,9,21,4951513.038
